day,buzz,positive_buzz,negative_buzz,quality,postive_quality,negative_quality,impression,positive_impression,negative_impression,value,positive_value,negative_value,reputation,positive_reputation,negative_reputation,satisfaction,positive_satisfaction,negative_satisfaction,recommend,positive_recommend,negative_recommend,awareness,attention,ad_awareness,wom_exposure,consideration,purchase_intent
2015-01-01,6.975964457879269,63.246371,8.453059,42.20321817627995,337.045805,5.557003,42.79735771022297,350.561821,14.406299,17.540504353692928,166.489976,28.716578,32.34756033713701,262.77835,8.701659,13.138496598704839,110.830539,7.633089,25.574810921063083,209.242526,8.362977,91.5877631328569,9.128352659722461,12.140057456294493,7.283033733558167,26.043083348344414,7.483228246931807
2015-01-02,8.38603425439903,74.261127,8.453059,43.09450519576077,345.701375,7.52411,43.83775507053267,358.655649,14.645849,18.33789385703886,174.454074,30.550373,33.381797564387895,271.489489,9.53115,14.235799378207448,117.864479,6.151311,27.268164198263793,222.693084,8.710509,91.3254825404414,10.540409682301153,14.285949997957973,7.578095331609477,27.003779347819346,8.244311594315878
2015-01-03,9.341387728531581,81.645627,8.973583,43.12552831279431,343.022473,7.52411,45.084966497560984,364.594352,13.852389,20.534771680281924,185.039765,25.28793,32.67808929989005,266.173078,11.95137,13.846818877378327,115.251323,7.528931,28.459172062324296,229.196013,7.795696,92.1846772725768,11.648346869990698,14.431486664606366,8.456478676768343,27.264702216041343,8.229867766278828
2015-01-04,9.065479351435448,76.715572,5.828164,41.519068439378955,335.543332,10.88547,42.91012995734321,349.869865,14.334614,19.298413384249013,177.457165,26.553451,31.311237840094368,256.663812,11.82596,12.538739828072964,105.832166,7.785639,27.567323713214265,224.665126,9.102766,91.51388849672412,10.55615595788661,14.73142338469519,7.645110416313429,27.099329523758303,8.268421166510349
2015-01-05,7.990839973602753,69.550379,6.825432,40.079446023674414,326.603541,11.995673,41.952163154375825,348.838164,19.530204,17.37413604264632,168.113145,31.733019,31.638265114497088,260.424792,12.07687,11.002332830403645,95.413937,9.049957,26.19167404856565,217.90369,12.309363,92.26690684177252,9.72989078101778,14.417370772052235,7.687676484968126,27.0050128119803,8.217787409513614
2015-01-06,8.643513621005118,72.43666,4.339578,39.46616522391294,325.418833,14.488486,43.420018784238835,361.092092,19.011694,18.64790079196268,174.464542,27.548868,31.317462174798344,259.85514,13.123558,11.071485185967536,97.556487,10.330867,26.621600603333462,221.760768,12.025075,92.12126423375906,9.745152647253384,13.669145078912257,8.123056353347335,26.989557163807927,8.289092164354567
2015-01-07,8.243132154780715,72.400405,5.371548,38.7053950893008,330.06975,15.337638,42.47734562220704,367.793094,22.389445,17.99254537100748,176.682393,30.376386,29.988064090361956,260.488283,16.640966,11.090643494144519,101.410489,11.227153,25.820145252983203,225.037257,15.081285,92.57960094226989,9.564305811068724,12.887772378612464,7.482112676199063,27.72043322912695,7.786567248788556
2015-01-08,8.148074277096422,67.716597,2.549762,38.176023491720194,320.97233,15.647349,42.210630700281136,355.472572,17.879527,16.387963568734484,161.499131,30.431141,29.51009862882093,252.094571,16.078101,10.563623006269944,95.672004,11.186044,24.413245766742918,211.379528,16.126772,92.81985055418423,8.785688491901174,12.617940569818542,7.3133321057655545,28.64753925383201,7.917479077587293
2015-01-09,6.9880694584818475,59.513744,3.674762,37.61497889660912,314.247107,13.680242,41.482991911485016,348.757872,17.283199,16.270010781170853,160.475867,30.468453,29.257829815916303,250.481143,16.69305,10.176493594485352,92.5025,11.186044,22.971663785324473,198.792687,15.234935,92.5787723403574,7.907838808839619,10.903457667446965,6.833664472996085,29.15631737113285,7.9597364325465785
2015-01-10,6.810718215359368,58.697616,3.154238,37.110734828258494,318.117508,15.468726,40.487536764161355,353.051907,22.864328,15.279420390991177,157.691157,33.083062,30.407633394846336,263.42255,15.4395,10.30632611309456,96.487706,12.436634,22.513343698769713,199.707333,16.1045,93.1571658182445,7.584262316410577,11.590751287858344,6.553343412378895,29.58900640557158,8.61321366304084
2015-01-11,6.580497207183971,59.905868,7.498934,38.2256503890201,317.902759,13.474526,41.26260948854849,352.592643,23.978135,16.20407796588736,158.441717,29.392799,31.336071709441025,265.059371,15.49959,11.226640340291755,100.668853,11.260138,22.959545900796293,200.847534,17.998219,92.96560311251996,8.463710380610866,11.318700239730074,7.004219631273837,29.595949340818418,8.480544681575177
