Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Tracked Revenue,Spend
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-01-21,22797.96,2201.3467
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-01-28,19594.94,1876.0113
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-02-04,18129.87,1726.6599
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-02-11,9716.26,930.1252
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-02-18,14173.67,1367.0609
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-02-25,4249.0,403.655
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-03-04,3015.0,284.1875
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-03-11,3509.5,320.29
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-04-08,349.0,33.155
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-04-22,2022.0,230.0275
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-04-29,2508.0,285.2975
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-05-06,6267.0,689.5025
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-05-13,3348.0,297.7475
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-05-20,8527.96,1504.4342
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-05-27,27354.97,3653.2744
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-06-03,32962.98,3157.0221
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-06-10,34605.0,3443.7
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-06-17,33862.11,2802.4047
ClientBrand,Affiliates,,Unclassified,EXCLUDING,CTC,2013-06-24,45659.54,4753.8283
