Brand,Media L1,Media L2,Message,Objective,Cost Type,Confirm VAT,Confirm CTC,wc Mon,Impressions,Clicks,Spend,Comment
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-04-27,449726,571,1485.3536622,
ClientBrand,Paid Social,Meta,Unclassified,Catalogue Sales,Platform and Fees,EXCLUDING,CTC,2020-05-04,8642,220,23.2422704,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-05-04,458007,587,1486.1245522,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-05-11,2084448,31940,4526.140072600001,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-05-11,292876,316,992.9065169999999,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-05-18,627720,7562,2013.0076712,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-05-18,0,0,0.0,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-05-25,751753,30801,2061.3530412,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-05-25,263159,301,996.0862593999999,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-06-01,956019,33611,2084.2329812,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-06-01,352284,422,1490.6804028000001,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-06-08,796004,15390,2040.6674206,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-06-08,948331,669,2993.5123780000004,
ClientBrand,Paid Social,Meta,Unclassified,Store Traffic,Platform and Fees,EXCLUDING,CTC,2020-06-15,6137441,2058,5382.000006,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-06-15,935972,19362,2059.6303512,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-06-15,928082,704,2510.449152,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-06-15,287517,1432,1005.4782642,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-06-22,973548,68288,3597.1742172,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-06-22,1461164,1023,3527.4725,
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-06-29,337454,229,509.2116564,
ClientBrand,Paid Social,Meta,Unclassified,Store Traffic,Platform and Fees,EXCLUDING,CTC,2020-06-29,4977523,1300,4482.08507,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-06-29,748078,43169,2080.8110912,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-06-29,2152898,1550,4560.0410608,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-07-06,1529191,63058,4333.840219000001,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-07-06,2508604,1892,5562.049880400001,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-07-06,352229,1861,1271.9378336,
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-07-13,3863440,3350,3419.2783456000006,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-07-13,2467659,45841,7112.8833478000015,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-07-13,1274446,940,3025.8216507999996,
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-07-20,2755589,1802,2087.8038926,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-07-20,659131,12354,2029.6135668,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-07-20,3245907,2189,8052.5025494,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-07-27,1309906,46229,4058.0634831999996,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-07-27,2464480,1409,5557.3059204,
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-08-03,1609757,911,1077.044509,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-08-03,2430364,2342,4105.269871,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-08-03,722111,855,2024.703379,
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-08-10,0,0,0.0,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-08-10,2729120,65849,9046.7691028,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-08-10,1121941,662,2526.927361,
