Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Impressions,Spend,Comment
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-01-11,Missing,18735.3,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-01-18,Missing,18735.3,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-01-25,Missing,18735.3,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-02-01,Missing,8197.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-02-08,Missing,8197.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-02-15,Missing,8197.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-02-22,Missing,8197.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-02-29,Missing,9409.11,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-03-07,Missing,9409.11,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-03-14,Missing,9409.11,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-03-21,Missing,22584.0,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-03-28,89712.91866028708,1973.6842105263156,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-03-28,179957,5344.082992415377,
ClientBrand,VOD,Collective,Unclassified,EXCLUDING,CTC,2016-03-28,146198.8304093567,2236.8421052631575,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-04-04,59818.18181818182,1316.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-04-04,122649,4740.162644719688,
ClientBrand,VOD,Collective,Unclassified,EXCLUDING,CTC,2016-04-04,97444.44444444444,1490.8999999999999,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-04-11,59818.18181818182,1316.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-04-11,79965,3090.503028031291,
ClientBrand,VOD,Collective,Unclassified,EXCLUDING,CTC,2016-04-11,97444.44444444444,1490.8999999999999,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-04-18,59818.18181818182,1316.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-04-18,250349,9675.537329639286,
ClientBrand,VOD,Collective,Unclassified,EXCLUDING,CTC,2016-04-18,97444.44444444444,1490.8999999999999,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-04-25,89727.27272727274,1974.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-04-25,85471,3303.2999976097344,
ClientBrand,VOD,Collective,Unclassified,EXCLUDING,CTC,2016-04-25,146222.22222222222,2237.2,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-05-02,147701,3828.9044110815457,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-05-09,131632,3412.342133360546,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-05-16,190772,4945.448929329176,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-05-23,24476,634.4998636815724,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-05-30,27272.727272727272,600.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-05-30,161970,4198.804662547159,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-06-06,102272.72727272726,2250.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-06-06,198827,7769.1288817651075,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-06-13,102272.72727272726,2250.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-06-13,125855,4917.761246785133,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-06-20,40909.090909090904,900.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-06-20,166983,6524.830370441554,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-06-27,177954.54545454547,3915.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-06-27,48404,1891.3775010082045,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2016-06-27,69600,1479.0,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-07-04,29659.09090909091,652.5,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-07-04,69284,2796.1563002907915,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2016-07-04,11600,246.5,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-07-11,177954.54545454547,3915.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-07-11,126127,5090.22004628452,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2016-07-11,69600,1479.0,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-07-18,29659.09090909091,652.5,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-07-18,193843,7823.095169408058,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2016-07-18,11600,246.5,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-07-25,177954.54545454547,3915.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-07-25,102163,4123.083484016629,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2016-07-25,69600,1479.0,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-08-01,107386.36363636365,2362.5,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-08-01,108186,3750.7615721588445,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2016-08-01,42000,892.5,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-08-08,107386.36363636365,2362.5,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-08-08,109878,3809.422476343238,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2016-08-08,42000,892.5,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-08-15,107386.36363636365,2362.5,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-08-15,110472,3830.016198024993,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2016-08-15,42000,892.5,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2016-08-22,107386.36363636365,2362.5,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-08-22,15916,551.8007984626493,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2016-08-22,42000,892.5,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-08-29,105673,3663.636955010275,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-09-05,183332,4997.296187300119,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-09-12,187044,5098.478541975013,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-09-19,166336,4534.0162034492205,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-09-26,87719,2391.0600672756477,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-10-03,187992,3598.521606299638,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-10-10,112843,2160.027945974669,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-10-17,146867,2811.3115066194778,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-10-24,194187,3717.105595783372,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-10-31,247305,4733.884345322842,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-11-07,153896,8045.234730873283,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-11-14,37208,1945.1258893430186,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-11-21,271544,14195.529576858755,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-11-28,1977,103.35180292493948,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-12-05,148057,4210.099059140633,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-12-12,463806,13188.631434000286,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-12-19,351569,9997.097848281493,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2016-12-19,466667.14285714284,3566.964285714286,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2016-12-26,254,7.222658577586476,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2016-12-26,186666.85714285716,1426.7857142857142,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-01-02,68,14.87803903222837,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-01-09,31,6.782635441162932,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-01-16,40,8.751787666016687,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-01-23,130205,28488.162826342566,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-01-30,108638,23769.417711518025,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-02-06,148427,5117.168905221472,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-02-13,79939,2755.9767772339214,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-02-20,138035,4758.8943375008985,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-02-27,120682,4160.63235004371,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-03-06,130685,4739.156713923589,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-03-13,147402,5345.381474123005,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-03-20,16411,595.1279858606575,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-03-27,156018,5657.831826092747,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-04-03,198056,6018.801504773495,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-04-10,167506,5090.405566398336,
ClientBrand,VOD,Spotify,Unclassified,EXCLUDING,CTC,2017-04-10,671836,4993.75,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2017-04-17,223829,6802.027315567043,
