Brand,Media L1,Media L2,Message,Device,Confirm VAT,Confirm CTC,wc Mon,Impressions,Clicks,Spend,Comment
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-05-25,448091,854,4264.944486, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-06-01,1295182,1623,1697.3, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-06-01,230567,218,1651.738713, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-06-08,653845,866,1005.25, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-06-08,462256,473,4255.707389, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-06-15,355602,574,727.41, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-06-15,503976,587,4413.344009, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-06-22,318410,444,562.2199999999999, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-06-22,71626,89,529.449177, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-06-29,347296,533,691.24, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-07-06,876975,1268,1499.0800000000002, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-07-13,1956840,3556,3415.3700000000003, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-07-13,88259,122,223.442975, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-07-20,1788287,3517,3471.1400000000003, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-07-20,748004,668,3560.121763, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2015-07-27,1935729,3310,3430.6900000000005, GDN
